,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
adja_sup_count_freq,-0.051430645915492235,0.025018196540134537,-0.048775893564355056,0.017178419209654752,0.0945549744017921,0.19026669830212542,-0.06644247910350144
adjd_pos_count_freq,0.04770860938193208,0.0913449298644269,0.04891154592679856,-0.01683120964341555,0.4590337614822644,-0.11469577916629106,-0.08859732707919453
adjd_cmp_count_freq,-0.004414926073154761,0.042568705297081455,-0.04586574124870386,0.025024258492207956,0.29938106392257136,0.1574204831724288,-0.03487787784308683
adjd_sup_count_freq,-0.050592622884335914,-0.015957286233544702,0.07300110172344774,0.033410270994777384,0.09531801693639191,0.21114520911813733,0.012096051490324057
adj_attit_count_freq,-0.02936609861480395,-0.021658013027746316,0.030860479808305544,0.020949574010077722,0.5485145634043589,0.25279415173420167,0.0014623036844415255
adj_descr_count_freq,-0.01350013859163008,-0.006695573140315754,-0.05918797585222452,0.05124359200177376,0.2963309890171453,-0.032986983935973824,-0.09407298041825653
adj_mod_count_freq,-0.027794540932601756,-0.058643825001044196,0.09005224820331759,-0.07319253738736502,0.044226311472435526,-0.0875421842533786,-0.03027992885757591
adj_soc_count_freq,0.01844049487403857,-0.008990153596323616,-0.015848821931429478,0.01766846580415407,0.027508288863628723,0.04773720405075725,-0.07244362260939163
adj_tech_count_freq,-0.029798795234993996,-0.04401303055561908,0.09107653744571945,-0.01742502523232821,0.05886360110081455,-0.04143357055642245,-0.03496891563555806
adv_general_count_freq,-0.03329448651439369,0.23755218873380982,0.03306078112931718,-0.00837392619976707,0.14966749575926944,-0.25193298528367414,0.004989168369772426
adv_poss_count_freq,-0.00020448690179607757,0.004312248650417968,0.013570907512442337,-0.042262363846710525,0.018695311601457446,-0.03332452973641233,0.07357346873591185
adv_loc_count_freq,0.023626551607684548,0.05677490127344813,-0.01571508317542646,-0.02415100904725262,-0.045999742136757414,-0.05119020909825026,0.009905309847948166
adv_temp_count_freq,-0.10765755172392243,0.2597457576957151,-0.028958238536351988,0.08384554045101501,-0.011973528448944384,-0.14700458979210212,0.018280630286064067
adv_link_count_freq,-0.07009256119376284,0.020020706219608917,0.004330952799993774,0.016821770082214995,0.0024338225256707352,-0.10630107431526134,0.024994363340008555
prep_general_count_freq,0.018539928002687337,-0.11996325312822693,0.01351797374625441,-0.0018680345717450473,-0.014671795962671508,0.024337527050560782,0.011022637158246258
prep_loc_temp_count_freq,-0.11606785566126158,0.02721577900585608,-0.14776444033029695,-0.12947334866906118,-0.18717523913387102,0.03926416481242743,-0.10666397620735475
prep_mod_count_freq,-0.00669665521491721,-0.2568518227032201,0.1060808602447662,-0.019161112818482828,-0.007136618332576646,0.03356350737146615,0.07043027506894714
prep_caus_count_freq,-0.051950234964821755,-0.03604230542812221,-0.0036443043368181794,-0.00026393869339208975,-0.04923414066458174,-0.03851116378935079,-0.03507126640356608
prep_contra_count_freq,-0.027360605757922225,-0.13230757342467356,-0.05628320334080225,0.09717375984647547,-0.06151109512015499,-0.049324357811102566,0.0031881736657067656
pron_dem_count_freq,0.1452351688603352,0.07456865520528243,-0.07940396752897219,0.014498162335089193,0.015640049301605594,-0.06918885632471129,0.011094869145948285
pron_ind_count_freq,0.2522483121356046,-0.05752309871144951,0.0922242924338668,-0.08200195343508977,-0.07591610490618132,-0.08992676137053873,-0.04662152031923654
pron_pers_1_2_count_freq,-0.09910638230371156,0.11316997397531152,0.19503871134505038,0.4208176331063366,-0.01134811166982935,0.05842932896647852,0.6343756360384586
pron_pers_3_count_freq,0.04386121281172552,0.2780059678003014,0.16505555360238133,0.027122375297995334,0.0007344403016885691,0.027616618543196015,-0.2355070179853702
pron_poss_count_freq,-0.0412520035741591,0.01491692585293643,0.01695359087128082,0.18042949727375318,0.015474056452120884,0.04587622931933841,0.06309754383730592
pron_rel_count_freq,0.007333218516465493,0.016059397958870732,0.031714355758414164,0.0008618740208748602,0.008935328079957908,-0.05587530404801862,-0.05345125610066826
pron_adv_count_freq,0.027813009394739657,0.061352351368408976,0.010961914052241544,0.10110727978743547,0.01651312046488439,-0.11411304370290741,0.041267693906131955
conj_sub_count_freq,0.034365287507648556,0.1136179363706547,0.22664553209769359,0.0954279490806931,-0.08031062468989991,-0.15461591154782914,-0.06148048240631782
conj_coor_count_freq,-0.007468368446207247,0.0478573015136521,-0.09000842816415058,0.016138395117008326,0.17193563875265855,-0.1465496374270628,0.013907658787141714
conj_comp_count_freq,0.012484435845959692,0.0372852084211873,-0.03294661784845801,-0.021164998288798195,0.1537291257022533,0.012756637509993202,0.012017863255652891
interj_count_freq,0.005260312743010042,-0.06420380420017345,-0.025734321218760157,-0.11492906110381733,-0.04016501112695286,-0.023102692692170083,0.2808084067276043
wh_count_freq,0.08413911943335796,0.11051550918293834,0.009294591275391425,0.05634626836270933,-0.028244435446869012,0.6104047734637654,-0.22228213008261186
resp_part_count_freq,0.010884488310394513,0.001076038466440349,-0.006048213865579757,0.008570313090013765,0.009849717959462623,-0.035914097324907725,0.0004399130691382216
spec_char_count_freq,-0.027571064491297405,0.009084836722897616,-0.02609457193300714,-0.16304045180531304,0.0034770521539624335,-0.006834538799082509,0.03178369837490241
